Hand,2,3,4,5,6,7,8,9,10,A
21,202,163,129,101,95,352,965,2679,10479,228449
20,336,312,282,492,573,1019,3628,63416,3162,1027
19,895,2122,6419,189001,1000000,1130,11522,2720,633,394
18,180479,24837,2081,2042,952,2791,2914,2115,2049,83552
17,320656,9128,2081,626,687,5557,483,2991,49800,5399
16,5141,43262,21425,2959,1271,465,358,2150,1000000,1000000
15,3790,30042,23544,2867,1984,414,297,1071,6462,7011
14,3162,11630,38259,2853,2293,230,192,660,3364,2512
13,1929,7206,537701,4441,3340,180,313,563,3209,2274
