Hand,2,3,4,5,6,7,8,9,10,A
10,50,68,111,196,182,45,19,11,12,12
9,17255,769,401,184,326,857,245,468,215,705
8,86,59,47,35,61,153,153,2744,54123,278
7,785,481,269,129,83,198,100407,90310,89759,50466
6,272149,24819,2134,873,3861,15252,522,34401,425,1000000
5,23914,63721,4444,1335,602,203,555,3355,17105,5744
4,2819,1622,2685,108500,23769,550,968,852,24599,297
3,2613,13460,627570,6145,3129,6284,1768,456,1803,232
2,13389,328175,23470,9477,1864,7254,665,234,434,164
A,596,1791,93534,6781,3291,88,175,869,1794,1556
