Hand,2,3,4,5,6,7,8,9,10,A
21,1,1,1,1,1,1,1,1,1,1
20,4,4,4,4,4,4,4,4,4,3
19,7,8,8,8,8,9,9,9,8,7
18,12,12,15,15,16,17,17,16,13,12
17,20,20,20,25,26,31,402,180,100,254
16,93,62,42,32,62,199,229,758,3245,98
15,142,89,59,46,59,161,190,554,1756,74
14,473,215,126,91,121,146,119,194,402,70
13,12211,1522,509,271,438,358,134,104,153,122
12,1963,5784,64182,2256,11982,2372,329,101,116,208
11,96,79,64,52,51,206,509,1234,2731,4015
10,156,115,89,68,64,240,656,3299,15436,3618
9,13381,2338,679,316,288,21426,689,131,653,109
8,640,697,2858,171829,42080,142,851,259,174,275
7,422,1010,13906,7253,2290,921,56,43,52,23
6,154,195,368,1160,876,40,33,48,62,22
5,117,138,258,748,545,30,25,35,44,17
4,97,123,215,709,522,29,23,29,35,15
