Hand,2,3,4,5,6,7,8,9,10,A
10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
9,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
8,100000,100000,100000,100000,100000,100000,100000,100000,582995,100000
7,100000,100000,100000,100000,100000,100000,100000,126544,5000000,161950
6,1742820,100000,100000,100000,100000,100000,100000,736373,100000,451752
5,100000,100000,100000,100000,100000,100000,100000,214879,249228,148477
4,164636,145993,1401161,5000000,562349,100000,100000,100000,3903548,100000
3,100000,100000,100000,100000,100000,100000,692934,100000,100000,100000
2,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
A,100000,100000,2825075,100000,100000,100000,100000,100000,100000,100000
