Hand,2,3,4,5,6,7,8,9,10,A
10,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
9,200655,100000,100000,100000,100000,100000,100000,100000,100000,100000
8,100000,100000,100000,100000,100000,100000,100000,100000,582995,100000
7,100000,100000,100000,100000,100000,100000,996831,1050204,5000000,586860
6,3164795,100000,100000,100000,100000,305663,100000,400044,100000,5000000
5,278093,741007,100000,100000,100000,100000,100000,100000,249228,148477
4,100000,100000,216711,100000,100000,100000,100000,100000,286050,100000
3,100000,148624,100000,100000,100000,100000,100000,100000,100000,100000
2,119599,5000000,100341,100000,100000,100000,100000,100000,100000,100000
A,100000,100000,2825075,100000,100000,100000,100000,100000,100000,100000
