Hand,2,3,4,5,6,7,8,9,10,A
10,320,432,628,1050,1488,304,128,73,75,85
9,7777,3172,1768,1021,1107,30444,2101,3388,1999,19320
8,494,354,270,214,229,3103,3758,11955,1000000,1460
7,2756,1525,963,665,751,902,233980,413630,3263,11322
6,21363,75582,428448,19857,52708,31323,3069,55731,2701,8111
5,3848,2251,1313,914,1146,2067,5022,75527,40015,5473
4,48766,36000,24865,624397,111215,29233,10148,5205,40716,1657
3,1000000,17164,4498,2334,2995,4682,204332,2321,49413,1064
2,39079,10086,4234,1871,2070,5126,99912,2018,5534,1013
A,2041,4091,12382,88363,1000000,498,1086,5372,42672,18197
